taxonId,treeId,location,startTime,endTime
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16300000,ChinaHubei,2020.06187818778,2019.9422664278159
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16400000,Brazil,2020.1584699453551,2020.1561311456662
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16400000,Italy,2020.1561311456662,2020.1079796496197
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16400000,ChinaHubei,2020.1079796496197,2019.9447942867116
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16500000,Brazil,2020.1584699453551,2020.1565240443424
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16500000,Italy,2020.1565240443424,2020.0618546191079
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16500000,ChinaHubei,2020.0618546191079,2019.933885291435
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16600000,Brazil,2020.1584699453551,2020.1568554721182
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16600000,Italy,2020.1568554721182,2020.1318465131023
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16600000,ChinaHubei,2020.1318465131023,2019.949443022609
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16700000,Brazil,2020.1584699453551,2020.156444225112
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16700000,Italy,2020.156444225112,2020.0970353093526
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16700000,ChinaHubei,2020.0970353093526,2019.9449284993873
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16800000,Brazil,2020.1584699453551,2020.1563438658743
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16800000,Italy,2020.1563438658743,2020.1309648577433
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16800000,Finland,2020.1309648577433,2020.0921532176483
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16800000,ChinaHubei,2020.0921532176483,2019.939604062017
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16900000,Brazil,2020.1584699453551,2020.1581272921073
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16900000,Italy,2020.1581272921073,2020.1056137416058
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16900000,Brazil,2020.1056137416058,2020.0963803573534
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,16900000,ChinaHubei,2020.0963803573534,2019.9480451938364
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17000000,Brazil,2020.1584699453551,2020.1561438739957
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17000000,Italy,2020.1561438739957,2020.0645132091092
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17000000,ChinaHubei,2020.0645132091092,2019.9472223782159
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17100000,Brazil,2020.1584699453551,2020.1584210877593
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17100000,Italy,2020.1584210877593,2020.0667894732894
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17100000,ChinaHubei,2020.0667894732894,2019.9492142587535
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17200000,Brazil,2020.1584699453551,2020.1567121611645
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17200000,Italy,2020.1567121611645,2020.1254635031735
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17200000,ChinaHubei,2020.1254635031735,2019.9599591279584
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17300000,Brazil,2020.1584699453551,2020.157633247153
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17300000,Italy,2020.157633247153,2020.138273529435
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17300000,Netherlands,2020.138273529435,2020.0927830581306
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17300000,Finland,2020.0927830581306,2020.091733226386
