flight_matrix,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHenan,ChinaHongKong,ChinaHubei,ChinaHunan,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Iran,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
Portugal,47.24001,960.52001,1981.42001,0.68001,276.68001,1.00E-05,32.95001,0.65001,1.47001,7.00001,1.00E-05,63.92001,0.67001,0.05001,0.51001,0.05001,0.53001,0.38001,0.19001,7.36001,152.70001,6104.59001,3271.20001,90.76001,0.23001,1793.79001,71.81001,336.40001,42.82001,4.30001,1904.25001,3.81001,16.56001,0,34.86001,60.82001,252.32001,2943.93001,4.87001,37.93001,6531.01001,766.80001,5.79001
Singapore,7005.17001,43.87001,96.87001,795.08001,204.79001,64.87001,2140.79001,204.11001,850.10001,2200.96001,107.33001,6940.87001,236.92001,101.20001,182.09001,43.74001,464.16001,423.86001,245.56001,446.28001,91.94001,600.87001,938.59001,6310.87001,0.21001,359.33001,5347.67001,5.50001,17.25001,96.65001,355.22001,684.51001,16.69001,34.86001,0,2465.20001,112.00001,445.54001,3352.20001,10096.76001,2391.13001,1443.41001,3554.34001
SouthKorea,1690.47001,26.93001,224.29001,1913.78001,846.80001,125.15001,4033.13001,83.40001,336.43001,1882.81001,113.12001,6474.73001,111.89001,311.82001,612.89001,18.88001,4502.74001,233.80001,284.02001,859.08001,48.91001,947.35001,1090.76001,974.72001,0.70001,632.58001,26535.61001,2.77001,124.29001,191.70001,207.87001,592.18001,30.27001,60.82001,2465.20001,0,50.74001,142.33001,4516.31001,9187.55001,1012.25001,9637.69001,4355.53001
Sweden,223.19001,799.84001,179.88001,12.32001,143.49001,0.28001,151.92001,7.92001,3.69001,13.48001,0.23001,112.37001,2.05001,0.78001,7.28001,0.24001,2.04001,3.96001,1.01001,5.62001,2576.93001,1539.59001,4053.75001,371.60001,28.50001,1346.96001,147.81001,26.49001,98.41001,3.77001,1348.45001,33.50001,18.60001,252.32001,112.00001,50.74001,0,1154.27001,21.35001,2085.50001,5236.84001,2397.53001,94.89001
Switzerland,453.33001,2247.82001,830.19001,32.40001,541.66001,0.23001,278.54001,5.79001,7.53001,22.49001,0.45001,309.05001,5.45001,1.56001,4.43001,0.10001,3.87001,8.73001,2.39001,4.37001,635.47001,6171.19001,11751.76001,638.11001,2.73001,3273.51001,230.82001,314.76001,265.73001,13.74001,3530.29001,106.22001,57.45001,2943.93001,445.54001,142.33001,1154.27001,0,59.89001,1401.58001,18023.35001,3951.15001,146.66001
Taiwan,835.78001,12.71001,31.65001,313.37001,390.92001,370.79001,2401.50001,546.95001,1998.69001,2689.56001,498.05001,15015.25001,514.08001,496.97001,1394.56001,200.02001,974.72001,718.65001,312.48001,2282.72001,13.62001,358.12001,433.02001,311.11001,0.11001,171.53001,16306.31001,1.13001,6.66001,16.20001,142.01001,311.30001,6.91001,4.87001,3352.20001,4516.31001,21.35001,59.89001,0,3027.33001,218.89001,4459.19001,2973.11001
Thailand,3987.70001,543.23001,80.54001,2027.96001,558.23001,87.37001,2749.90001,483.61001,325.88001,2468.84001,102.55001,8511.90001,282.05001,70.75001,66.25001,10.67001,252.55001,768.89001,1081.57001,837.89001,410.94001,2980.25001,4059.65001,5035.44001,0.64001,1299.27001,9858.06001,24.66001,22.61001,344.66001,906.08001,404.21001,43.60001,37.93001,10096.76001,9187.55001,2085.50001,1401.58001,3027.33001,0,3566.48001,858.68001,3329.01001
UK,5214.63001,2937.36001,1565.56001,82.94001,3160.06001,4.43001,1148.37001,35.89001,157.82001,252.70001,9.33001,2828.33001,50.27001,20.76001,25.93001,3.07001,26.49001,70.44001,14.90001,45.85001,1756.95001,16984.44001,24035.60001,7459.19001,16.50001,19627.15001,1687.06001,812.91001,839.07001,345.79001,13708.08001,1405.88001,1886.08001,6531.01001,2391.13001,1012.25001,5236.84001,18023.35001,218.89001,3566.48001,0,26598.53001,460.27001
USA,7401.82001,2103.21001,15536.10001,54.11001,61316.10001,12.85001,5042.66001,76.78001,188.73001,942.79001,62.88001,4852.45001,58.83001,53.68001,40.70001,14.20001,126.02001,186.70001,52.30001,121.78001,744.78001,9876.60001,13695.52001,10867.95001,7.57001,5730.92001,20064.63001,109.69001,53174.21001,74.16001,4279.85001,1433.26001,847.06001,766.80001,1443.41001,9637.69001,2397.53001,3951.15001,4459.19001,858.68001,26598.53001,0,2841.20001
Vietnam,1701.31001,21.12001,6.01001,3331.46001,471.01001,5.49001,452.04001,25.29001,58.07001,1228.23001,13.46001,1681.22001,58.56001,25.40001,49.59001,9.16001,36.20001,130.63001,89.91001,122.25001,55.23001,819.03001,706.76001,181.77001,0.16001,100.09001,3030.51001,4.19001,3.84001,0.73001,128.73001,73.88001,4.58001,5.79001,3554.34001,4355.53001,94.89001,146.66001,2973.11001,3329.01001,460.27001,2841.20001,0
