intra_cont_dist,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHenan,ChinaHongKong,ChinaHubei,ChinaHunan,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Iran,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
NewZealand,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
Nigeria,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
Portugal,1.00E-05,7.367486681,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.128984781,7.037925346,7.576127992,1.00E-05,1.00E-05,7.479513188,1.00E-05,7.388435794,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05,7.994276888,7.35566907,1.00E-05,1.00E-05,7.502097478,1.00E-05,1.00E-05
Singapore,1.00E-05,1.00E-05,1.00E-05,7.133748919,1.00E-05,8.18202062,8.412237759,8.051802899,8.063136225,7.891234981,8.241433134,7.857929303,8.127359682,8.021028085,8.27077527,8.037990545,8.320515185,8.076096051,7.857467141,8.167061958,1.00E-05,1.00E-05,1.00E-05,8.144297422,8.743546865,1.00E-05,8.565952583,1.00E-05,1.00E-05,8.20606255,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,8.426644105,1.00E-05,1.00E-05,8.037803821,7.404780333,1.00E-05,1.00E-05,7.310197475
SouthKorea,1.00E-05,1.00E-05,1.00E-05,8.14762779,1.00E-05,6.992124964,7.018892312,7.637965672,7.246713213,7.569397743,7.185166957,7.602177623,7.346551905,7.473137562,6.675449477,7.35401125,6.786853095,7.78377279,7.947050996,6.96613083,1.00E-05,1.00E-05,1.00E-05,8.520539817,8.803394768,1.00E-05,6.848812822,1.00E-05,1.00E-05,8.33271192,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.426644105,0,1.00E-05,1.00E-05,7.317928438,8.149671827,1.00E-05,1.00E-05,8.042636577
Sweden,1.00E-05,7.237319708,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,6.066909157,7.540569581,7.020566359,1.00E-05,1.00E-05,7.636257387,1.00E-05,7.238841819,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.994276888,1.00E-05,1.00E-05,0,7.395217651,1.00E-05,1.00E-05,7.247156726,1.00E-05,1.00E-05
Switzerland,1.00E-05,6.202433998,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.607320488,6.141298809,6.234154873,1.00E-05,1.00E-05,6.475539805,1.00E-05,5.906900036,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.35566907,1.00E-05,1.00E-05,7.395217651,0,1.00E-05,1.00E-05,7.130418527,1.00E-05,1.00E-05
Taiwan,1.00E-05,1.00E-05,1.00E-05,7.644736164,1.00E-05,6.714324272,7.545223251,7.335777781,6.075753889,6.599173995,7.235844319,6.567636864,7.059541018,6.918829031,6.962398018,6.572988766,7.235048751,7.569656539,7.596725305,6.423984822,1.00E-05,1.00E-05,1.00E-05,8.37194613,8.789862727,1.00E-05,7.679669913,1.00E-05,1.00E-05,8.216811352,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.037803821,7.317928438,1.00E-05,1.00E-05,0,7.723183765,1.00E-05,1.00E-05,7.444107636
Thailand,1.00E-05,1.00E-05,1.00E-05,6.339117863,1.00E-05,7.773328923,8.034016713,7.393220116,7.655268266,7.36226493,7.780525873,7.351232678,7.60587377,7.450457281,7.898558374,7.550564016,7.933081708,7.384705941,6.864397969,7.79318467,1.00E-05,1.00E-05,1.00E-05,7.776093071,8.535544024,1.00E-05,8.369901237,1.00E-05,1.00E-05,7.706173541,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.404780333,8.149671827,1.00E-05,1.00E-05,7.723183765,0,1.00E-05,1.00E-05,6.694558561
UK,1.00E-05,6.629387168,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.505818884,6.995149695,6.940217723,1.00E-05,1.00E-05,7.548591979,1.00E-05,6.79456809,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.502097478,1.00E-05,1.00E-05,7.247156726,7.130418527,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05
USA,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.723809317,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.397894398,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05
Vietnam,1.00E-05,1.00E-05,1.00E-05,5.97231432,1.00E-05,7.643719237,8.010438969,7.447284223,7.442826502,7.078473427,7.743957826,7.011395206,7.54876942,7.348254167,7.791594456,7.380092192,7.867805237,7.542839015,7.220572748,7.627291024,1.00E-05,1.00E-05,1.00E-05,8.067877394,8.677680705,1.00E-05,8.259838214,1.00E-05,1.00E-05,7.992217562,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.310197475,8.042636577,1.00E-05,1.00E-05,7.444107636,6.694558561,1.00E-05,1.00E-05,0
