name	accession	samplingDate	location
hCoV-19/South_Korea/KCDC06/2020|EPI_ISL_412870|2020-01-30	EPI_ISL_412870	2020-01-30	SouthKorea
hCoV-19/South_Korea/KCDC07/2020|EPI_ISL_412871|2020-01-31	EPI_ISL_412871	2020-01-31	SouthKorea
hCoV-19/South_Korea/KCDC12/2020|EPI_ISL_412872|2020-02-01	EPI_ISL_412872	2020-02-01	SouthKorea
hCoV-19/South_Korea/KCDC24/2020|EPI_ISL_412873|2020-02-06	EPI_ISL_412873	2020-02-06	SouthKorea
hCoV-19/Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|2019-12-30	EPI_ISL_412898	2019-12-30	ChinaHubei
hCoV-19/Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|2019-12-30	EPI_ISL_412899	2019-12-30	ChinaHubei
hCoV-19/Germany/BW-ChVir-1577/2020|EPI_ISL_412912|2020-02-25	EPI_ISL_412912	2020-02-25	Germany
hCoV-19/Brazil/SP-01/2020|EPI_ISL_412964|2020-02-25	EPI_ISL_412964	2020-02-25	Brazil
hCoV-19/Canada/BC_37_0-2/2020|EPI_ISL_412965|2020-02-16	EPI_ISL_412965	2020-02-16	Canada
hCoV-19/Guangzhou/IQTC01/2020|EPI_ISL_412966|2020-02-05	EPI_ISL_412966	2020-02-05	ChinaGuangdong
hCoV-19/Guangzhou/IQTC02/2020|EPI_ISL_412967|2020-01-29	EPI_ISL_412967	2020-01-29	ChinaGuangdong
hCoV-19/Japan/Hu_DP_Kng_19-020/2020|EPI_ISL_412968|2020-02-10	EPI_ISL_412968	2020-02-10	Japan
hCoV-19/Japan/Hu_DP_Kng_19-027/2020|EPI_ISL_412969|2020-02-10	EPI_ISL_412969	2020-02-10	Japan
hCoV-19/USA/WA2/2020|EPI_ISL_412970|2020-02-24	EPI_ISL_412970	2020-02-24	USA
hCoV-19/Finland/FIN-25/2020|EPI_ISL_412971|2020-02-25	EPI_ISL_412971	2020-02-25	Finland
hCoV-19/Mexico/CMX-InDRE-01/2020|EPI_ISL_412972|2020-02-27	EPI_ISL_412972	2020-02-27	Mexico
hCoV-19/Italy/LOM-ASST-CDG1/2020|EPI_ISL_412973|2020-02-20	EPI_ISL_412973	2020-02-20	Italy
hCoV-19/Italy/LAZ-INMI-SPL1/2020|EPI_ISL_412974|2020-01-29	EPI_ISL_412974	2020-01-29	Italy
hCoV-19/Australia/NSW05/2020|EPI_ISL_412975|2020-02-28	EPI_ISL_412975	2020-02-28	Australia
hCoV-19/Wuhan/HBCDC-HB-02/2020|EPI_ISL_412978|2020-01-17	EPI_ISL_412978	2020-01-17	ChinaHubei
hCoV-19/Wuhan/HBCDC-HB-03/2020|EPI_ISL_412979|2020-01-18	EPI_ISL_412979	2020-01-18	ChinaHubei
hCoV-19/Wuhan/HBCDC-HB-04/2020|EPI_ISL_412980|2020-01-18	EPI_ISL_412980	2020-01-18	ChinaHubei
hCoV-19/Wuhan/HBCDC-HB-05/2020|EPI_ISL_412981|2020-01-18	EPI_ISL_412981	2020-01-18	ChinaHubei
hCoV-19/Wuhan/HBCDC-HB-06/2020|EPI_ISL_412982|2020-02-07	EPI_ISL_412982	2020-02-07	ChinaHubei
hCoV-19/Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983|2020-02-08	EPI_ISL_412983	2020-02-08	ChinaHubei
hCoV-19/Canada/ON-PHL-2445/2020|EPI_ISL_413014|2020-01	EPI_ISL_413014	2020-01-25	Canada
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28	EPI_ISL_413016	2020-02-28	Brazil
hCoV-19/South_Korea/KUMC02/2020|EPI_ISL_413018|2020-02-06	EPI_ISL_413018	2020-02-06	SouthKorea
hCoV-19/Switzerland/ZH-UZH-1000477102/2020|EPI_ISL_413019|2020-02-26	EPI_ISL_413019	2020-02-26	Switzerland
hCoV-19/Switzerland/ZH-UZH-1000477377/2020|EPI_ISL_413020|2020-02-27	EPI_ISL_413020	2020-02-27	Switzerland
hCoV-19/Switzerland/ZH-UZH-1000477757/2020|EPI_ISL_413021|2020-02-29	EPI_ISL_413021	2020-02-29	Switzerland
hCoV-19/Switzerland/ZH-UZH-1000477796/2020|EPI_ISL_413022|2020-02-29	EPI_ISL_413022	2020-02-29	Switzerland
hCoV-19/Switzerland/ZH-UZH-1000477797/2020|EPI_ISL_413023|2020-02-29	EPI_ISL_413023	2020-02-29	Switzerland
hCoV-19/Switzerland/ZH-UZH-1000477806/2020|EPI_ISL_413024|2020-02-29	EPI_ISL_413024	2020-02-29	Switzerland
hCoV-19/Australia/NSW06/2020|EPI_ISL_413213|2020-02-29	EPI_ISL_413213	2020-02-29	Australia
hCoV-19/Australia/NSW07/2020|EPI_ISL_413214|2020-02-29	EPI_ISL_413214	2020-02-29	Australia
hCoV-19/Scotland/CVR01/2020|EPI_ISL_413221|2020-02-28	EPI_ISL_413221	2020-03-02	UK
hCoV-19/USA/WA4-UW2/2020|EPI_ISL_413455|2020-02-28	EPI_ISL_413455	2020-02-28	USA
hCoV-19/USA/WA-S2/2020|EPI_ISL_413456|2020-02-21	EPI_ISL_413456	2020-02-20	USA
hCoV-19/USA/WA6-UW3/2020|EPI_ISL_413457|2020-02-29	EPI_ISL_413457	2020-02-29	USA
hCoV-19/USA/WA7-UW4/2020|EPI_ISL_413458|2020-03-01	EPI_ISL_413458	2020-03-01	USA
hCoV-19/Anhui/SZ005/2020|EPI_ISL_413485|2020-01-24	EPI_ISL_413485	2020-01-24	ChinaAnhui
hCoV-19/USA/WA8-UW5/2020|EPI_ISL_413486|2020-03-01	EPI_ISL_413486	2020-03-01	USA
hCoV-19/USA/WA9-UW6/2020|EPI_ISL_413487|2020-03-01	EPI_ISL_413487	2020-03-01	USA
hCoV-19/Germany/NW-HHU-01/2020|EPI_ISL_413488|2020-02-28	EPI_ISL_413488	2020-02-28	Germany
hCoV-19/Italy/LOM-UniSR-1/2020|EPI_ISL_413489|2020-03-03	EPI_ISL_413489	2020-03-03	Italy
hCoV-19/New_Zealand/20VR0174/2020|EPI_ISL_413490|2020-02-27	EPI_ISL_413490	2020-02-27	NewZealand
hCoV-19/Beijing/231/2020|EPI_ISL_413519|2020-01-28	EPI_ISL_413519	2020-01-28	ChinaBeijing
hCoV-19/Beijing/233/2020|EPI_ISL_413520|2020-01-28	EPI_ISL_413520	2020-01-28	ChinaBeijing
hCoV-19/Beijing/235/2020|EPI_ISL_413521|2020-01-28	EPI_ISL_413521	2020-01-28	ChinaBeijing
hCoV-19/India/MH-1-27/2020|EPI_ISL_413522|2020-01-27	EPI_ISL_413522	2020-01-27	India
hCoV-19/India/MH-1-31/2020|EPI_ISL_413523|2020-01-31	EPI_ISL_413523	2020-01-31	India
hCoV-19/Nigeria/Lagos01/2020|EPI_ISL_413550|2020-02-27	EPI_ISL_413550	2020-02-27	Nigeria
hCoV-19/Wales/PHW1/2020|EPI_ISL_413555|2020-02-27	EPI_ISL_413555	2020-02-27	UK
hCoV-19/Wales/PHW2/2020|EPI_ISL_413556|2020-03-04	EPI_ISL_413556	2020-03-04	UK
hCoV-19/USA/CA-CDPH-UC1/2020|EPI_ISL_413557|2020-02-28	EPI_ISL_413557	2020-02-28	USA
hCoV-19/USA/CA-CDPH-UC2/2020|EPI_ISL_413558|2020-02-27	EPI_ISL_413558	2020-02-27	USA
hCoV-19/USA/CA-CDPH-UC3/2020|EPI_ISL_413559|2020-02-27	EPI_ISL_413559	2020-02-27	USA
hCoV-19/USA/WA-S3/2020|EPI_ISL_413560|2020-02-28	EPI_ISL_413560	2020-02-28	USA
hCoV-19/USA/CA-CDPH-UC4/2020|EPI_ISL_413561|2020-02-27	EPI_ISL_413561	2020-02-27	USA
hCoV-19/USA/WA11-UW7/2020|EPI_ISL_413562|2020-03-02	EPI_ISL_413562	2020-03-02	USA
hCoV-19/USA/WA12-UW8/2020|EPI_ISL_413563|2020-03-03	EPI_ISL_413563	2020-03-03	USA
hCoV-19/Netherlands/Andel_1365066/2020|EPI_ISL_413564|2020-03-01	EPI_ISL_413564	2020-03-01	Netherlands
hCoV-19/Netherlands/Berlicum_1363564/2020|EPI_ISL_413565|2020-02-24	EPI_ISL_413565	2020-02-24	Netherlands
hCoV-19/Netherlands/Blaricum_1364780/2020|EPI_ISL_413566|2020-03-02	EPI_ISL_413566	2020-03-02	Netherlands
hCoV-19/Netherlands/Dalen_1363624/2020|EPI_ISL_413568|2020-03-01	EPI_ISL_413568	2020-03-01	Netherlands
hCoV-19/Netherlands/Delft_1363424/2020|EPI_ISL_413569|2020-02-28	EPI_ISL_413569	2020-02-28	Netherlands
hCoV-19/Netherlands/Diemen_1363454/2020|EPI_ISL_413570|2020-02-28	EPI_ISL_413570	2020-02-28	Netherlands
hCoV-19/Netherlands/Eindhoven_1363782/2020|EPI_ISL_413571|2020-03-02	EPI_ISL_413571	2020-03-02	Netherlands
hCoV-19/Netherlands/Haarlem_1363688/2020|EPI_ISL_413572|2020-03-01	EPI_ISL_413572	2020-03-01	Netherlands
hCoV-19/Netherlands/Hardinxveld_Giessendam_1364806/2020|EPI_ISL_413573|2020-03-02	EPI_ISL_413573	2020-03-02	Netherlands
hCoV-19/Netherlands/Helmond_1363548/2020|EPI_ISL_413574|2020-02-29	EPI_ISL_413574	2020-02-29	Netherlands
hCoV-19/Netherlands/Houten_1363498/2020|EPI_ISL_413575|2020-02-29	EPI_ISL_413575	2020-02-29	Netherlands
hCoV-19/Netherlands/Loon_op_zand_1363512/2020|EPI_ISL_413576|2020-02-29	EPI_ISL_413576	2020-02-29	Netherlands
hCoV-19/Netherlands/Naarden_1364774/2020|EPI_ISL_413577|2020-03-02	EPI_ISL_413577	2020-03-02	Netherlands
hCoV-19/Netherlands/Nieuwendijk_1363582/2020|EPI_ISL_413578|2020-03-01	EPI_ISL_413578	2020-03-01	Netherlands
