name	accession	samplingDate	location
hCoV-19/Guangdong/2020XN4373-P0039/2020|EPI_ISL_413851|2020-01-30	EPI_ISL_413851	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/2020XN4433-P0040/2020|EPI_ISL_413852|2020-01-30	EPI_ISL_413852	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/2020XN4243-P0035/2020|EPI_ISL_413853|2020-01-30	EPI_ISL_413853	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/2020XN4475-P0042/2020|EPI_ISL_413854|2020-01-30	EPI_ISL_413854	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/GD2020234-P0023/2020|EPI_ISL_413855|2020-02-07	EPI_ISL_413855	2020-02-07	ChinaGuangdong
hCoV-19/Guangdong/GD2020233-P0027/2020|EPI_ISL_413856|2020-02-07	EPI_ISL_413856	2020-02-07	ChinaGuangdong
hCoV-19/Guangdong/2020XN4448-P0002/2020|EPI_ISL_413857|2020-01-31	EPI_ISL_413857	2020-01-31	ChinaGuangdong
hCoV-19/Guangdong/2020XN4459-P0041/2020|EPI_ISL_413858|2020-01-30	EPI_ISL_413858	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/2020XN4276-P0037/2020|EPI_ISL_413859|2020-01-31	EPI_ISL_413859	2020-01-31	ChinaGuangdong
hCoV-19/Guangdong/2020XN4273-P0036/2020|EPI_ISL_413860|2020-01-30	EPI_ISL_413860	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/GD2020080-P0010/2020|EPI_ISL_413861|2020-02-01	EPI_ISL_413861	2020-02-01	ChinaGuangdong
hCoV-19/Guangdong/GD2020086-P0021/2020|EPI_ISL_413862|2020-02-01	EPI_ISL_413862	2020-02-01	ChinaGuangdong
hCoV-19/Guangdong/GD2020087-P0008/2020|EPI_ISL_413863|2020-02-01	EPI_ISL_413863	2020-02-01	ChinaGuangdong
